data_files,lat,long,dis,name,lat_soil,lon_soil
149.225_-28.725.met,-28.725,149.225,0.023725,Soil_65.txt,-28.321,149.478
149.225_-28.725.met,-28.725,149.225,0.023725,Soil_65.txt,-28.321,149.478
145.725_-36.225.met,-36.225,145.725,0.012025,Soil_650.txt,-36.083,145.956
145.725_-36.725.met,-36.725,145.725,0.073306,Soil_652.txt,-36.384,145.72
143.725_-36.725.met,-36.725,143.725,0.001733583,Soil_653.txt,-36.4380072,143.994108
144.225_-36.725.met,-36.725,144.225,0.164444771,Soil_654.txt,-36.4524421,144.07011
143.225_-36.725.met,-36.725,143.225,0.00089,Soil_659.txt,-36.498,143.456
149.725_-28.225.met,-28.225,149.725,0.017109,Soil_66.txt,-28.08,150.053
144.725_-36.725.met,-36.725,144.725,0.251325,Soil_661.txt,-36.352,145.461
145.225_-36.725.met,-36.725,145.225,0.015325,Soil_661.txt,-36.352,145.461
141.725_-34.725.met,-34.725,141.725,0.05341,Soil_662.txt,-34.468,142.206
141.225_-35.225.met,-35.225,141.225,0.100882,Soil_665.txt,-35.156,141.214
142.225_-35.225.met,-35.225,142.225,0.027297,Soil_671.txt,-35.056,142.331
142.225_-35.725.met,-35.725,142.225,0.076178,Soil_672.txt,-35.678,142.662
142.725_-35.725.met,-35.725,142.725,0.016405,Soil_675.txt,-35.514,142.853
143.225_-35.725.met,-35.725,143.225,0.002516,Soil_683.txt,-35.521,143.455
141.225_-35.725.met,-35.725,141.225,0.063557,Soil_684.txt,-35.314,141.281
142.725_-35.225.met,-35.225,142.725,0.018289,Soil_694.txt,-35.11,142.983
141.725_-35.725.met,-35.725,141.725,0.032985,Soil_695.txt,-35.307,142.044
150.725_-28.725.met,-28.725,150.725,0.025705,Soil_70.txt,-28.526,150.823
150.725_-29.225.met,-29.225,150.725,0.224705,Soil_70.txt,-28.526,150.823
151.225_-29.225.met,-29.225,151.225,0.626705,Soil_70.txt,-28.526,150.823
141.725_-35.225.met,-35.225,141.725,0.02186021,Soil_700.txt,-35.12,142.0039
143.725_-36.225.met,-36.225,143.725,0.035597371,Soil_706.txt,-35.844,143.8392194
141.225_-34.225.met,-34.225,141.225,0.249889266,Soil_707.txt,-34.4547222,141.6155556
141.225_-34.725.met,-34.725,141.225,0.020167066,Soil_707.txt,-34.4547222,141.6155556
143.225_-34.725.met,-34.725,143.225,0.243925151,Soil_710.txt,-34.8765333,143.1874306
143.725_-35.225.met,-35.225,143.725,0.532089,Soil_712.txt,-35.695,143.858
143.725_-35.725.met,-35.725,143.725,0.062089,Soil_712.txt,-35.695,143.858
143.225_-35.225.met,-35.225,143.225,0.061585,Soil_713.txt,-34.951,143.228
143.225_-36.225.met,-36.225,143.225,0.018409,Soil_717.txt,-35.847,143.52
142.725_-36.725.met,-36.725,142.725,0.01594,Soil_720.txt,-36.349,142.983
142.225_-36.225.met,-36.225,142.225,0.002525,Soil_723.txt,-36.012,142.441
142.225_-37.225.met,-37.225,142.225,0.05929,Soil_728.txt,-36.744,142.552
141.225_-36.225.met,-36.225,141.225,0.157001,Soil_731.txt,-36.33,141.651
141.725_-36.225.met,-36.225,141.725,0.059353775,Soil_738.txt,-36.1341667,142.1594444
149.225_-27.725.met,-27.725,149.225,0.067833,Soil_74.txt,-27.583,149.712
149.725_-27.725.met,-27.725,149.725,0.080833,Soil_74.txt,-27.583,149.712
141.225_-36.725.met,-36.725,141.225,0.003737,Soil_742.txt,-36.414,141.471
141.725_-37.225.met,-37.225,141.725,0.0026,Soil_744.txt,-36.937,142.009
141.725_-36.725.met,-36.725,141.725,0.060058217,Soil_745.txt,-36.547151,142.209206
142.225_-36.725.met,-36.725,142.225,0.020028507,Soil_746.txt,-36.345078,142.531114
141.225_-37.225.met,-37.225,141.225,0.071693,Soil_747.txt,-36.748,141.333
142.725_-37.225.met,-37.225,142.725,0.095845,Soil_761.txt,-37.281,142.928
146.225_-36.725.met,-36.725,146.225,0.095857,Soil_769.txt,-36.226,146.291
137.725_-34.725.met,-34.725,137.725,0.013969,Soil_774.txt,-34.412,137.875
137.725_-35.225.met,-35.225,137.725,0.081252,Soil_777.txt,-34.831,137.729
137.725_-34.225.met,-34.225,137.725,0.00325,Soil_782.txt,-33.99,138.03
138.725_-34.225.met,-34.225,138.725,0.011713,Soil_812.txt,-34.072,139.023
138.225_-33.725.met,-33.725,138.225,0.009364,Soil_817.txt,-33.567,138.445
138.225_-34.225.met,-34.225,138.225,0.007888,Soil_833.txt,-33.903,138.527
138.725_-33.725.met,-33.725,138.725,0.005345,Soil_838.txt,-33.522,138.919
139.225_-33.225.met,-33.225,139.225,0.608345,Soil_838.txt,-33.522,138.919
139.225_-33.725.met,-33.725,139.225,0.311345,Soil_838.txt,-33.522,138.919
138.725_-33.225.met,-33.225,138.725,0.098835415,Soil_849.txt,-33.119205,138.695643
139.225_-34.225.met,-34.225,139.225,0.129956,Soil_859.txt,-34.141,139.155
150.225_-28.225.met,-28.225,150.225,0.00603341,Soil_86.txt,-28.05181,150.46344
137.725_-33.725.met,-33.725,137.725,0.0305,Soil_869.txt,-33.323,138.061
140.725_-35.725.met,-35.725,140.725,0.024228,Soil_875.txt,-35.337,140.903
139.725_-35.225.met,-35.225,139.725,0.01069,Soil_882.txt,-35.044,140.052
140.225_-35.725.met,-35.725,140.225,0.012429,Soil_885.txt,-35.373,140.43
139.225_-34.725.met,-34.725,139.225,0.115272,Soil_886.txt,-34.709,139.721
140.725_-35.225.met,-35.225,140.725,0.003925,Soil_889.txt,-34.949,140.918
140.225_-35.225.met,-35.225,140.225,0.102952,Soil_890.txt,-34.661,140.409
134.225_-32.725.met,-32.725,134.225,0.015725,Soil_896.txt,-32.408,134.369
134.725_-32.225.met,-32.225,134.725,0.468005,Soil_898.txt,-32.609,134.718
134.725_-32.725.met,-32.725,134.725,0.063529,Soil_899.txt,-32.727,134.98
150.725_-27.725.met,-27.725,150.725,0.078205,Soil_9.txt,-27.229,151.108
135.225_-33.725.met,-33.725,135.225,0.103045,Soil_902.txt,-33.477,135.796
133.725_-32.225.met,-32.225,133.725,0.033865,Soil_930.txt,-32.124,134.083
134.225_-32.225.met,-32.225,134.225,0.175865,Soil_930.txt,-32.124,134.083
135.725_-33.725.met,-33.725,135.725,0.0292,Soil_933.txt,-33.635,135.915
135.225_-32.725.met,-32.725,135.225,0.117378,Soil_939.txt,-32.748,135.268
135.225_-33.225.met,-33.225,135.225,0.094378,Soil_939.txt,-32.748,135.268
147.725_-28.225.met,-28.225,147.725,0.369579116,Soil_94.txt,-28.3287778,148.4693889
148.225_-28.725.met,-28.725,148.225,0.021412416,Soil_94.txt,-28.3287778,148.4693889
134.725_-33.225.met,-33.225,134.725,0.04637585,Soil_942.txt,-32.8383,135.1414
136.225_-32.725.met,-32.725,136.225,0.317701,Soil_949.txt,-32.949,136.17
135.725_-32.725.met,-32.725,135.725,0.2056,Soil_950.txt,-32.919,136.067
135.725_-33.225.met,-33.225,135.725,0.0116,Soil_950.txt,-32.919,136.067
136.725_-33.725.met,-33.725,136.725,0.030685,Soil_951.txt,-33.608,137.089
149.725_-28.725.met,-28.725,149.725,0.02618856,Soil_96.txt,-28.4,149.8316
136.225_-33.225.met,-33.225,136.225,0.030005,Soil_963.txt,-33.142,136.429
136.725_-33.225.met,-33.225,136.725,0.326005,Soil_963.txt,-33.142,136.429
136.225_-33.725.met,-33.725,136.225,0.047125,Soil_964.txt,-33.69,136.505
140.225_-34.725.met,-34.725,140.225,0.010045,Soil_965.txt,-34.496,140.573
139.725_-34.225.met,-34.225,139.725,0.10225,Soil_968.txt,-34.29,140.03
139.725_-34.725.met,-34.725,139.725,0.037021632,Soil_969.txt,-34.2905389,140.0297333
149.225_-27.225.met,-27.225,149.225,0.04143281,Soil_97.txt,-26.9295,149.6734
140.225_-34.225.met,-34.225,140.225,0.168065,Soil_970.txt,-34.319,140.698
140.725_-34.225.met,-34.225,140.725,0.192178,Soil_971.txt,-34.318,140.702
140.725_-34.725.met,-34.725,140.725,0.099178,Soil_971.txt,-34.318,140.702
136.225_-34.225.met,-34.225,136.225,0.020952618,Soil_982.txt,-33.991567,136.331201
135.725_-34.725.met,-34.725,135.725,0.071248685,Soil_986.txt,-34.67565718,135.7989734
135.225_-34.225.met,-34.225,135.225,0.053902079,Soil_988.txt,-34.15512872,135.6214777
148.225_-29.225.met,-29.225,148.225,0.054530286,Soil_99.txt,-28.862694,148.679738
135.725_-34.225.met,-34.225,135.725,0.012093811,Soil_991.txt,-34.06804797,136.0336164
138.225_-33.225.met,-33.225,138.225,0.042913,Soil_999.txt,-32.787,138.562
